node1,node2
Barking and Dagenham 023D,Barking and Dagenham 023F
Barking and Dagenham 023D,Barking and Dagenham 023E
Barking and Dagenham 023D,Barking and Dagenham 023C
Barking and Dagenham 023D,Redbridge 034G
Barking and Dagenham 023E,Barking and Dagenham 007G
Barking and Dagenham 023E,Barking and Dagenham 004B
Barking and Dagenham 023E,Barking and Dagenham 023D
Barking and Dagenham 023E,Barking and Dagenham 004G
Barking and Dagenham 023E,Barking and Dagenham 023C
Barking and Dagenham 023E,Barking and Dagenham 004F
Barking and Dagenham 023E,Barking and Dagenham 002E
Barking and Dagenham 004B,Barking and Dagenham 007E
Barking and Dagenham 004B,Barking and Dagenham 004A
Barking and Dagenham 004B,Barking and Dagenham 007G
Barking and Dagenham 004B,Barking and Dagenham 004C
Barking and Dagenham 004B,Barking and Dagenham 004G
Barking and Dagenham 004B,Barking and Dagenham 023E
Barking and Dagenham 004C,Barking and Dagenham 004A
